credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;Precio de compra;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
17160;19950818,0000000;20171231;20240930;82;109;3696024,00;3696024,00;999;0,000000000000000000000000;0,000000000000000000000000;NA;3696024;70;37715529;1,28803763721902808648;2869500,0000;Vehicular;;1,96602822791427
20065;19970829,0000000;20171231;20240930;82;109;2196018,65;2196018,65;999;0,000000000000000000000000;0,000000000000000000000000;NA;2196018;70;17262379;2,52415936781609184791;870000,0000;Vehicular;;2,89311952586207
20067;19970407,0000000;20171231;20240930;82;109;9037106,00;9037106,00;999;0,000000000000000000000000;0,000000000000000000000000;NA;9037106;70;86389750;8,58958844216329175936;1052100,0000;Vehicular;;7,44219133162247
20112;19970623,0000000;20171231;20240930;82;109;1966987,00;1966987,00;999;0,000000000000000000000000;0,000000000000000000000000;NA;1966987;70;26706765;7,15267739902639920757;275000,1000;Vehicular;;6,36450804926980
20246;19980806,0000000;20171231;20240930;82;109;4368826,00;4368826,00;999;0,000000000000000000000000;0,000000000000000000000000;NA;4368826;70;57976773;1,32388666666666710015;3300000,0000;Vehicular;;1,99291500000000
22725;19991205,0000000;20171231;20240930;82;109;9339655,00;9339655,00;999;0,000000000000000000000000;0,000000000000000000000000;NA;9339655;70;128129764;6,22643666666666639742;1500000,0000;Vehicular;;5,66982750000000
28860;20030101,0000000;20171231;20240930;82;109;1025106,00;1025106,00;999;0,000000000000000000000000;0,000000000000000000000000;NA;1025106;70;6454749;0,68340400000000001146;1500000,0000;Vehicular;;1,00000000000000
31250;20030808,0000000;20171231;20240930;82;109;17187137,32;17187137,32;999;0,000000000000000000000000;0,000000000000000000000000;NA;17187137;70;137639446;11,45809154666667062372;1500000,0000;Vehicular;;9,59356866000000
31889;20031001,0000000;20171231;20240930;82;109;368406,91;368406,91;999;0,000000000000000000000000;0,000000000000000000000000;NA;368406;70;3864189;0,31220924576271191775;1180000,0000;Vehicular;;1,00000000000000
32246;20031101,0000000;20171231;20240930;82;109;569528,53;569528,53;999;0,000000000000000000000000;0,000000000000000000000000;NA;569528;70;4799636;0,49524220000000002129;1150000,0000;Vehicular;;1,00000000000000
32316;20031106,0000000;20171231;20240930;82;109;5887518,60;5887518,60;999;0,000000000000000000000000;0,000000000000000000000000;NA;5887518;70;57777602;4,28183170909090904388;1375000,0000;Vehicular;;4,21137378181818
32417;20031111,0000000;20171231;20240930;82;109;1454286,25;1454286,25;999;0,000000000000000000000000;0,000000000000000000000000;NA;1454286;70;9544807;0,90328338509316774552;1610000,0000;Vehicular;;1,00000000000000
32507;20031124,0000000;20171231;20240930;82;109;463365,16;463365,16;999;0,000000000000000000000000;0,000000000000000000000000;NA;463365;70;20990247;0,16201579020979020584;2860000,0000;Vehicular;;1,00000000000000
32595;20031128,0000000;20171231;20240930;82;109;970654,71;970654,71;999;0,000000000000000000000000;0,000000000000000000000000;NA;970654;70;7078634;1,21331838749999998406;800000,0000;Vehicular;;1,90998879062500
33810;20040216,0000000;20171231;20240930;82;109;2754805,34;2754805,34;999;0,000000000000000000000000;0,000000000000000000000000;NA;2754805;70;22097956;3,44350667500000007237;800000,0000;Vehicular;;3,58263000625000
