credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;Precio de compra;Precio_rec;Diferencia;icvs;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
17160;19950818,0;20171231;20240831;81;109;3696024,00;3696024,00;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;3696024;70;37601859;1,2880376372190280865;2869500,0000;Vehicular;;NA
20065;19970829,0;20171231;20240831;81;109;2196018,65;2196018,65;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;2196018;70;17212835;2,5241593678160918479;870000,0000;Vehicular;;NA
20067;19970407,0;20171231;20240831;81;109;9037106,00;9037106,00;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;9037106;70;86101572;8,5895884421632917594;1052100,0000;Vehicular;;NA
20112;19970623,0;20171231;20240831;81;109;1966987,00;1966987,00;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;1966987;70;26621929;7,1526773990263992076;275000,1000;Vehicular;;NA
20246;19980806,0;20171231;20240831;81;109;4368826,00;4368826,00;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;4368826;70;57796099;1,3238866666666671001;3300000,0000;Vehicular;;NA
22725;19991205,0;20171231;20240831;81;109;9339655,00;9339655,00;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;9339655;70;127796806;6,2264366666666663974;1500000,0000;Vehicular;;NA
28860;20030101,0;20171231;20240831;81;109;1025106,00;1025106,00;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;1025106;70;6431074;0,6834040000000000115;1500000,0000;Vehicular;;NA
31250;20030808,0;20171231;20240831;81;109;17187137,32;17187137,32;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;17187137;70;137153360;11,4580915466666706237;1500000,0000;Vehicular;;NA
31889;20031001,0;20171231;20240831;81;109;368406,91;368406,91;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;368406;70;3849081;0,3122092457627119177;1180000,0000;Vehicular;;NA
32246;20031101,0;20171231;20240831;81;109;569528,53;569528,53;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;569528;70;4782103;0,4952422000000000213;1150000,0000;Vehicular;;NA
32316;20031106,0;20171231;20240831;81;109;5887518,60;5887518,60;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;5887518;70;57582694;4,2818317090909090439;1375000,0000;Vehicular;;NA
32417;20031111,0;20171231;20240831;81;109;1454286,25;1454286,25;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;1454286;70;9510845;0,9032833850931677455;1610000,0000;Vehicular;;NA
32507;20031124,0;20171231;20240831;81;109;463365,16;463365,16;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;463365;70;20912351;0,1620157902097902058;2860000,0000;Vehicular;;NA
32595;20031128,0;20171231;20240831;81;109;970654,71;970654,71;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;970654;70;7052641;1,2133183874999999841;800000,0000;Vehicular;;NA
33810;20040216,0;20171231;20240831;81;109;2754805,34;2754805,34;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;2754805;70;22016237;3,4435066750000000724;800000,0000;Vehicular;;NA
34659;20040507,0;20171231;20240831;81;109;243665,13;243665,13;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;243665;70;7310820;0,2109654805194804972;1155000,0000;Vehicular;;NA
35224;20040628,0;20171231;20240831;81;109;3987880,67;3987880,67;999;0,000000000000000000000000;0,000000000000000000000000;NA;0,0000000000000000;NA;ICV360;3987880;70;31501660;0,8861957044444443987;4500000,0000;Vehicular;;NA
