credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
72315;20110523,00;20110930;20110930;1;  5;47062291,31;47062291,31;7;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
72351;20110520,00;20110930;20110930;1;  5;58498001,53;58498001,53;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
72424;20110527,00;20110930;20110930;1;  5;47336908,21;47336908,21;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
72495;20110530,00;20110930;20110930;1;  5;45089390,42;45089390,42;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
72526;20110530,00;20110930;20110930;1;  5;51996812,00;51996812,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
72597;20110602,00;20110930;20110930;1;  4;62457788,99;62457788,99;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
72738;20110610,00;20110930;20110930;1;  4;49552440,00;49552440,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
72841;20110616,00;20110930;20110930;1;  4;45588245,99;45588245,99;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73025;20110623,00;20110930;20110930;1;  4;55915000,00;55915000,00;7;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73099;20110624,00;20110930;20110930;1;  4;76838349,46;76838349,46;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73189;20110629,00;20110930;20110930;1;  4;64377007,33;64377007,33;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73377;20110707,00;20110930;20110930;1;  3;46240000,00;46240000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73455;20110712,00;20110930;20110930;1;  3;66726000,00;66726000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73499;20110706,00;20110930;20110930;1;  3;60000000,00;60000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73620;20110719,00;20110930;20110930;1;  3;54600000,00;54600000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73754;20110722,00;20110930;20110930;1;  3;47120465,55;47120465,55;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73781;20110725,00;20110930;20110930;1;  3;51564148,46;51564148,46;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74030;20110729,00;20110930;20110930;1;  2;48625660,98;48625660,98;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74032;20110729,00;20110930;20110930;1;  2;49596482,65;49596482,65;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74080;20110803,00;20110930;20110930;1;  2;60827058,95;60827058,95;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74192;20110808,00;20110930;20110930;1;  2;50000000,00;50000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74264;20110810,00;20110930;20110930;1;  2;45000000,00;45000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74308;20110810,00;20110930;20110930;1;  2;56200000,00;56200000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74335;20110812,00;20110930;20110930;1;  2;68838417,00;68838417,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74374;20110816,00;20110930;20110930;1;  2;60407954,00;60407954,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74456;20110817,00;20110930;20110930;1;  2;49670400,00;49670400,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74462;20110818,00;20110930;20110930;1;  2;70000000,00;70000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74496;20110818,00;20110930;20110930;1;  2;55000000,00;55000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
